FIPS,Center_X,Center_Y
Los_Angeles__CA,0.0,0.0
Ventura__CA,0.0,0.0
Santa_Barbara__CA,0.0,0.0
San_Luis_Obispo__CA,0.0,0.0
Kern__CA,0.0,0.0
San_Bernardino__CA,0.0,0.0
Inyo__CA,0.0,0.0
Tulare__CA,0.0,0.0
Kings__CA,0.0,0.0
Madera__CA,0.0,0.0
Fresno__CA,0.0,0.0
Monterey__CA,0.0,0.0
San_Benito__CA,0.0,0.0
Merced__CA,0.0,0.0
Santa_Cruz__CA,0.0,0.0
San_Mateo__CA,0.0,0.0
Alameda__CA,0.0,0.0
Santa_Clara__CA,0.0,0.0
Stanislaus__CA,0.0,0.0
Mariposa__CA,0.0,0.0
Tuolumne__CA,0.0,0.0
Mono__CA,0.0,0.0
Alpine__CA,0.0,0.0
Calaveras__CA,0.0,0.0
Amador__CA,0.0,0.0
San_Joaquin__CA,0.0,0.0
Contra_Costa__CA,0.0,0.0
El_Dorado__CA,0.0,0.0
Sacramento__CA,0.0,0.0
Solano__CA,0.0,0.0
San_Franciso__CA,0.0,0.0
Marin__CA,0.0,0.0
Napa__CA,0.0,0.0
Sonoma__CA,0.0,0.0
Yolo__CA,0.0,0.0
Placer__CA,0.0,0.0
Nevada__CA,0.0,0.0
Sierra__CA,0.0,0.0
Yuba__CA,0.0,0.0
Sutter__CA,0.0,0.0
Colusa__CA,0.0,0.0
Lake__CA,0.0,0.0
Butte__CA,0.0,0.0
Glenn__CA,0.0,0.0
Plumas__CA,0.0,0.0
Tehama__CA,0.0,0.0
Mendocino__CA,0.0,0.0
Humboldt__CA,0.0,0.0
Trinity__CA,0.0,0.0
Shasta__CA,0.0,0.0
Lassen__CA,0.0,0.0
Modoc__CA,0.0,0.0
Montezuma__CO,0.0,0.0
La_Plata__CO,0.0,0.0
Prowers__CO,0.0,0.0
Bent__CO,0.0,0.0
Kiowa__CO,0.0,0.0
Cheyenne__CO,0.0,0.0
Kit_Carson__CO,0.0,0.0
Yuma__CO,0.0,0.0
Washington__CO,0.0,0.0
Phillips__CO,0.0,0.0
Sedgwick__CO,0.0,0.0
Logan__CO,0.0,0.0
Morgan__CO,0.0,0.0
Baca__CO,0.0,0.0
Otero__CO,0.0,0.0
Crowley__CO,0.0,0.0
Lincoln__CO,0.0,0.0
Elbert__CO,0.0,0.0
Arapahoe__CO,0.0,0.0
Weld__CO,0.0,0.0
Adams__CO,0.0,0.0
Denver__CO,0.0,0.0
Douglas__CO,0.0,0.0
El_Paso__CO,0.0,0.0
Teller__CO,0.0,0.0
Pueblo__CO,0.0,0.0
Las_Animas__CO,0.0,0.0
Huerfano__CO,0.0,0.0
Costilla__CO,0.0,0.0
Conejos__CO,0.0,0.0
Alamosa__CO,0.0,0.0
Rio_Grande__CO,0.0,0.0
Custer__CO,0.0,0.0
Fremont__CO,0.0,0.0
Saguache__CO,0.0,0.0
Chaffee__CO,0.0,0.0
Gunnison__CO,0.0,0.0
Pitkin__CO,0.0,0.0
Lake__CO,0.0,0.0
Park__CO,0.0,0.0
Jefferson__CO,0.0,0.0
Gilpin__CO,0.0,0.0
Clear_Creek__CO,0.0,0.0
Summit__CO,0.0,0.0
Eagle__CO,0.0,0.0
Boulder__CO,0.0,0.0
Grand__CO,0.0,0.0
Larimer__CO,0.0,0.0
Jackson__CO,0.0,0.0
Routt__CO,0.0,0.0
Moffat__CO,0.0,0.0
Rio_Blanco__CO,0.0,0.0
Garfield__CO,0.0,0.0
Delta__CO,0.0,0.0
Mesa__CO,0.0,0.0
Montrose__CO,0.0,0.0
San_Juan__CO,0.0,0.0
Dolores__CO,0.0,0.0
San_Miguel__CO,0.0,0.0
Ouray__CO,0.0,0.0
Hinsdale__CO,0.0,0.0
Mineral__CO,0.0,0.0
Archuleta__CO,0.0,0.0
Broomfield__CO,0.0,0.0
Hartford__CT,0.0,0.0
Litchfield__CT,0.0,0.0
Fairfield__CT,0.0,0.0
New_Haven__CT,0.0,0.0
Middlesex__CT,0.0,0.0
New_London__CT,0.0,0.0
Tolland__CT,0.0,0.0
Windham__CT,0.0,0.0
New_Castle__DE,0.0,0.0
Sussex__DE,0.0,0.0
Kent__DE,0.0,0.0
Bay__FL,0.0,0.0
Jackson__FL,0.0,0.0
Charlotte__FL,0.0,0.0
Lee__FL,0.0,0.0
Hendry__FL,0.0,0.0
Collier__FL,0.0,0.0
Monroe__FL,0.0,0.0
Miami-Dade__FL,0.0,0.0
Broward__FL,0.0,0.0
Palm_Beach__FL,0.0,0.0
Sarasota__FL,0.0,0.0
DeSoto__FL,0.0,0.0
Glades__FL,0.0,0.0
Martin__FL,0.0,0.0
St._Lucie__FL,0.0,0.0
Indian_River__FL,0.0,0.0
Okeechobee__FL,0.0,0.0
Highlands__FL,0.0,0.0
Hardee__FL,0.0,0.0
Manatee__FL,0.0,0.0
Pinellas__FL,0.0,0.0
Hillsborough__FL,0.0,0.0
Hernando__FL,0.0,0.0
Pasco__FL,0.0,0.0
Osceola__FL,0.0,0.0
Polk__FL,0.0,0.0
Orandge__FL,0.0,0.0
Seminole__FL,0.0,0.0
Lake_FL,0.0,0.0
Sumter__FL,0.0,0.0
Citrus__FL,0.0,0.0
Levy__FL,0.0,0.0
Marion__FL,0.0,0.0
Volusia__FL,0.0,0.0
Brevard__FL,0.0,0.0
Washington__FL,0.0,0.0
Holmes__FL,0.0,0.0
Walton__FL,0.0,0.0
Okaloosa__FL,0.0,0.0
Santa_Rosa__FL,0.0,0.0
Escambia__FL,0.0,0.0
Calhoun__FL,0.0,0.0
Gulf__FL,0.0,0.0
Franklin__FL,0.0,0.0
Dixie__FL,0.0,0.0
Gilchrist__FL,0.0,0.0
Alachua__FL,0.0,0.0
Putnam__FL,0.0,0.0
Flagler__FL,0.0,0.0
St._Johns__FL,0.0,0.0
Clay__FL,0.0,0.0
Bradford__FL,0.0,0.0
Union__FL,0.0,0.0
Suwannee__FL,0.0,0.0
Lafayette__FL,0.0,0.0
Taylor__FL,0.0,0.0
Wakulla__FL,0.0,0.0
Liberty__FL,0.0,0.0
Gadsden__FL,0.0,0.0
Leon__FL,0.0,0.0
Jefferson__FL,0.0,0.0
Madison__FL,0.0,0.0
Hamilton__FL,0.0,0.0
Columbia__FL,0.0,0.0
Baker__FL,0.0,0.0
Duval__FL,0.0,0.0
Nassau__FL,0.0,0.0
Rabun__GA,0.0,0.0
Towns__GA,0.0,0.0
Mitchell__GA,0.0,0.0
Baker__GA,0.0,0.0
Miller__GA,0.0,0.0
Early__GA,0.0,0.0
Seminole__GA,0.0,0.0
Decatur__GA,0.0,0.0
Grady__GA,0.0,0.0
Thomas__GA,0.0,0.0
Brooks__GA,0.0,0.0
Colquitt__GA,0.0,0.0
Cook__GA,0.0,0.0
Lanier__GA,0.0,0.0
Lowndes__GA,0.0,0.0
Echols__GA,0.0,0.0
Clinch__GA,0.0,0.0
Atkinson__GA,0.0,0.0
Berrien__GA,0.0,0.0
Irwin__GA,0.0,0.0
Tift__GA,0.0,0.0
Worth__GA,0.0,0.0
Dougherty__GA,0.0,0.0
Calhoun__GA,0.0,0.0
Clay__GA,0.0,0.0
Quitman__GA,0.0,0.0
Randolph__GA,0.0,0.0
Terrell__GA,0.0,0.0
Lee__GA,0.0,0.0
Crisp__GA,0.0,0.0
Turner__GA,0.0,0.0
Ben_Hill__GA,0.0,0.0
Coffee__GA,0.0,0.0
Bacon__GA,0.0,0.0
Wayne__GA,0.0,0.0
Pierce__GA,0.0,0.0
Brantley__GA,0.0,0.0
Ware__GA,0.0,0.0
Charlton__GA,0.0,0.0
Camden__GA,0.0,0.0
Glynn__GA,0.0,0.0
McIntosh__GA,0.0,0.0
Heard__GA,0.0,0.0
Haralson__GA,0.0,0.0
Polk__GA,0.0,0.0
Floyd__GA,0.0,0.0
Chattooga__GA,0.0,0.0
Whitfield__GA,0.0,0.0
Catoosa__GA,0.0,0.0
Walker__GA,0.0,0.0
Dade__GA,0.0,0.0
Long__GA,0.0,0.0
Appling__GA,0.0,0.0
Jeff_Davis__GA,0.0,0.0
Stewart__GA,0.0,0.0
Webster__GA,0.0,0.0
Sumter__GA,0.0,0.0
Wilcox__GA,0.0,0.0
Telfair__GA,0.0,0.0
Wheeler__GA,0.0,0.0
Dodge__GA,0.0,0.0
Pulaski__GA,0.0,0.0
Dooly__GA,0.0,0.0
Macon__GA,0.0,0.0
Schley__GA,0.0,0.0
Marion__GA,0.0,0.0
Chattahoochee__GA,0.0,0.0
Muscogee__GA,0.0,0.0
Taylor__GA,0.0,0.0
Talbot__GA,0.0,0.0
Harris__GA,0.0,0.0
Troup__GA,0.0,0.0
Carroll__GA,0.0,0.0
Paulding__GA,0.0,0.0
Murray__GA,0.0,0.0
Gordon__GA,0.0,0.0
Bartow__GA,0.0,0.0
Cobb__GA,0.0,0.0
Douglas__GA,0.0,0.0
Coweta__GA,0.0,0.0
Meriwether__GA,0.0,0.0
Pike__GA,0.0,0.0
Upson__GA,0.0,0.0
Crawford__GA,0.0,0.0
Peach__GA,0.0,0.0
Houston__GA,0.0,0.0
Bleckley__GA,0.0,0.0
Laurens__GA,0.0,0.0
Wilkinson__GA,0.0,0.0
Twiggs__GA,0.0,0.0
Bibb__GA,0.0,0.0
Baldwin__GA,0.0,0.0
Jones__GA,0.0,0.0
Monroe__GA,0.0,0.0
Lamar__GA,0.0,0.0
Spalding__GA,0.0,0.0
Fayette__GA,0.0,0.0
Clayton__GA,0.0,0.0
Butts__GA,0.0,0.0
Henry__GA,0.0,0.0
DeKalb__GA,0.0,0.0
Fulton__GA,0.0,0.0
Cherokee__GA,0.0,0.0
Pickens__GA,0.0,0.0
Dawson__GA,0.0,0.0
Forsyth__GA,0.0,0.0
Gwinnett__GA,0.0,0.0
Rockdale__GA,0.0,0.0
Jasper__GA,0.0,0.0
Newton__GA,0.0,0.0
Walton__GA,0.0,0.0
Barrow__GA,0.0,0.0
Jackson__GA,0.0,0.0
Clarke__GA,0.0,0.0
Oconee__GA,0.0,0.0
Morgan__GA,0.0,0.0
Putnam__GA,0.0,0.0
